"","V1","product_productid","review_userid","review_helpfulness","review_score","V1","V2"
"7052","7052","B00005U14H","AKUZDTHEA4DS1","21/24",5,"Bully [DVD]","Comedy"
"7053","7053","B00005U14H","A3FA6XL8R189ED","15/17",4,"Bully [DVD]","Comedy"
"7054","7054","B00005U14H","A2Y1SCM930PZI7","6/21",2,"Bully [DVD]","Comedy"
"7055","7055","B00005U14H","A79NBSSNHIEJJ","3/15",1,"Bully [DVD]","Comedy"
"7056","7056","B00005U14H","A22L7NIRDADRYZ","3/16",1,"Bully [DVD]","Comedy"
"7057","7057","B00005U14H","A2I8L9LTD1LQHX","19/24",4,"Bully [DVD]","Comedy"
"7058","7058","B00005U14H","A1L8HRCM60W0W7","10/12",3,"Bully [DVD]","Comedy"
"7059","7059","B00005U14H","A2ARRAMXWT83PT","10/12",4,"Bully [DVD]","Comedy"
"7060","7060","B00005U14H","A1511DB834FDCY","10/12",5,"Bully [DVD]","Comedy"
"7061","7061","B00005U14H","A38QX8P4F7MKJ0","7/8",5,"Bully [DVD]","Comedy"
"7062","7062","B00005U14H","ANIMV3SPDD8SH","22/29",3,"Bully [DVD]","Comedy"
"7063","7063","B00005U14H","AUV0BR1PZ7F42","9/11",5,"Bully [DVD]","Comedy"
"7064","7064","B00005U14H","A2TT4AA3QO0DPY","4/4",4,"Bully [DVD]","Comedy"
"7065","7065","B00005U14H","A3TIXPAXQLJ4WQ","4/4",4,"Bully [DVD]","Comedy"
"7066","7066","B00005U14H","A1K50T3PM8YTFR","4/4",4,"Bully [DVD]","Comedy"
"7067","7067","B00005U14H","A3E973VF7BH79T","4/4",3,"Bully [DVD]","Comedy"
"7068","7068","B00005U14H","A14U40MX3CPO8Q","4/4",5,"Bully [DVD]","Comedy"
"7069","7069","B00005U14H","A1DQ2CY2WUAWRK","4/4",5,"Bully [DVD]","Comedy"
"7070","7070","B00005U14H","A3O0XY9C7ROUWR","4/4",5,"Bully [DVD]","Comedy"
"7071","7071","B00005U14H","A2LFH510D0BLRO","4/4",5,"Bully [DVD]","Comedy"
"7072","7072","B00005U14H","A3VZVYWCTGIEV0","6/7",5,"Bully [DVD]","Comedy"
"7073","7073","B00005U14H","A1C0XXVC70Y26K","8/10",2,"Bully [DVD]","Comedy"
"7074","7074","B00005U14H","A1PNF4W765MBYA","8/10",5,"Bully [DVD]","Comedy"
"7075","7075","B00005U14H","A2YM2NM7YZA24Q","10/13",5,"Bully [DVD]","Comedy"
"7076","7076","B00005U14H","AOSF1U99TAISB","3/3",4,"Bully [DVD]","Comedy"
"7077","7077","B00005U14H","A1AVANVFF4K9E0","3/3",4,"Bully [DVD]","Comedy"
"7078","7078","B00005U14H","ATL84JW0KKIMJ","5/6",5,"Bully [DVD]","Comedy"
"7079","7079","B00005U14H","A2HZ7QF9FWEDXM","7/9",4,"Bully [DVD]","Comedy"
"7080","7080","B00005U14H","A1Z21TND7LDI1O","4/5",4,"Bully [DVD]","Comedy"
"7081","7081","B00005U14H","A2ODF4T1AAN83E","3/4",4,"Bully [DVD]","Comedy"
"7082","7082","B00005U14H","A2PN7Z2VTHICL8","3/4",5,"Bully [DVD]","Comedy"
"7083","7083","B00005U14H","A27CFNHYZG6WS8","3/4",3,"Bully [DVD]","Comedy"
"7084","7084","B00005U14H","A9QGAUMUKOS2B","3/4",5,"Bully [DVD]","Comedy"
"7085","7085","B00005U14H","A38TSK19QGF4QF","3/4",5,"Bully [DVD]","Comedy"
"7086","7086","B00005U14H","A3H9JSM1SUTE4O","5/7",4,"Bully [DVD]","Comedy"
"7087","7087","B00005U14H","A1P2NBM3P3TS2X","7/10",4,"Bully [DVD]","Comedy"
"7088","7088","B00005U14H","A928WN8NV03WZ","4/6",4,"Bully [DVD]","Comedy"
"7089","7089","B00005U14H","A2198FZZMTJ38H","4/6",5,"Bully [DVD]","Comedy"
"7090","7090","B00005U14O","A1X1RWRPSAL206","59/60",4,"Fogi is a Bastard","Comedy"
"7091","7091","B00005U14O","A18P0T2NZTGWYX","5/5",5,"Fogi is a Bastard","Comedy"
"7092","7092","B00005U14O","A327WB8OREWFB1","5/7",4,"Fogi is a Bastard","Comedy"
"7093","7093","B00005U14N","A3MWYPZBKL1NJ","9/9",5,"Pride Divide","Comedy"
"7094","7094","B00005U14C","A35J4QIY993B18","26/26",2,"Shaolin Wooden Men... Young Tiger's Revenge","Kids & Family"
"7095","7095","B00005U14B","A2M2O6UDFEK1A6","9/9",1,"God of Killers","Military & War"
"7096","7096","B00005U14B","A30K1OOSVN7AG1","6/6",1,"God of Killers","Military & War"
"7097","7097","B00005U14B","A3875KWK1PXG7I","4/4",4,"God of Killers","Military & War"
"7098","7098","6302533244.0","ANEF763N25VZC","8/10",5,"God of Killers","Military & War"
"7099","7099","B00005U14E","A1BJ4X0Y4SBW40","5/5",3,"Gonin 2","Military & War"
"7100","7100","B00005U14D","A2EMSQ6TDKGH27","14/16",4,"Grapes Of Death - Special Edition","Military & War"
"7101","7101","B00005U14D","A2V3P1XE33NYC3","8/10",4,"Grapes Of Death - Special Edition","Military & War"
"7102","7102","B00005U14D","ANBQIWHO9JRFS","3/4",4,"Grapes Of Death - Special Edition","Military & War"
"7103","7103","1572525835.0","A1EHO1C89QIBOT","18/19",3,"Grapes Of Death - Special Edition","Military & War"
"7104","7104","B000AXWH7Q","ANWDEFDXUIDF6","7/7",4,"Tetsujin 28 -Tetsujin vs. the Mafia (Vol. 2)","Military & War"
"7105","7105","B000AXWH7Q","A4R9MJFF8UFND","3/3",2,"Tetsujin 28 -Tetsujin vs. the Mafia (Vol. 2)","Military & War"
"7106","7106","B000AXWH7Q","AGESMCP6EPVZ3","3/4",3,"Tetsujin 28 -Tetsujin vs. the Mafia (Vol. 2)","Military & War"
"7107","7107","B000AXWH7Q","A338UA2HLVKICJ","8/12",2,"Tetsujin 28 -Tetsujin vs. the Mafia (Vol. 2)","Military & War"
"7108","7108","B000B9E2MC","A2NOZB6VZCTOI4","8/8",4,"Deathless Devil and Tarkan Versus The Vikings (Turkish Pop Cinema Double Bill)","Military & War"
"7109","7109","B000B9E2MC","A3UAIEHXTUT85G","3/3",4,"Deathless Devil and Tarkan Versus The Vikings (Turkish Pop Cinema Double Bill)","Military & War"
"7110","7110","B007HJ9QMA","AQOUDC5OM7RP3","9/10",5,"DeadHeads","Comedy"
"7111","7111","B007HJ9QMA","A2LXG7XUQNZO6E","8/9",4,"DeadHeads","Comedy"
"7112","7112","B007HJ9QMA","A29XKBB6SEYTN6","10/12",4,"DeadHeads","Comedy"
"7113","7113","B007HJ9QMA","AXVCJVY8CY4MQ","7/8",5,"DeadHeads","Comedy"
"7114","7114","B007HJ9QMA","A12NCG1YY07LMN","6/7",4,"DeadHeads","Comedy"
"7115","7115","B007HJ9QMA","A2WWXBFX91NLZP","5/6",5,"DeadHeads","Comedy"
"7116","7116","B007HJ9QMA","A2KJBZLPBAGYUT","4/5",5,"DeadHeads","Comedy"
"7117","7117","B007HJ9QMA","A3QZDARAU6KWNM","3/7",5,"DeadHeads","Comedy"
"7118","7118","B0003OXEE2","A18TOFFFV6VZZY","29/30",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7119","7119","B0003OXEE2","A1MVT2H0P148D6","10/10",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7120","7120","B0003OXEE2","A3QJ1OP7W8DKL9","10/11",1,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7121","7121","B0003OXEE2","A3C2VRL7FMU2LW","7/7",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7122","7122","B0003OXEE2","A35AZI8ZY6FC6R","5/5",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7123","7123","B0003OXEE2","A3V5KHX0GOSYYZ","7/8",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7124","7124","B0003OXEE2","AJDTN9UK56PFB","4/4",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7125","7125","B0003OXEE2","A3OH4KCJME56WV","6/7",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7126","7126","B0003OXEE2","A2Y39C7JD9MXOO","6/7",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7127","7127","B0003OXEE2","A14PYTBHWY58S3","6/7",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7128","7128","B0003OXEE2","A2Q3OH0OGCYY4A","8/10",1,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7129","7129","B0003OXEE2","A12J2003S8REA6","3/3",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7130","7130","B0003OXEE2","A3T92BDOOED0LB","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7131","7131","B0003OXEE2","A241KCDWYV7FU9","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7132","7132","B0003OXEE2","A2YW07V232MTHW","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7133","7133","B0003OXEE2","AWVQNOFNUVMAB","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7134","7134","B0003OXEE2","A1QIJRJU4IVJSW","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7135","7135","B0003OXEE2","A32R2S560PQVC4","3/3",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7136","7136","B0003OXEE2","AJZ63MYQY8CXK","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7137","7137","B0003OXEE2","A24KAFVYQUPIG8","3/3",4,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7138","7138","B0003OXEE2","A30LZH0Z1KR6M2","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7139","7139","B0003OXEE2","A4QBS195E5Q4U","3/3",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7140","7140","B0003OXEE2","A2B0UU09CWW0TO","5/6",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7141","7141","B0003OXEE2","A275HPQ1R9RQ33","5/6",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7142","7142","B0003OXEE2","A1FDJJT96I7PCF","9/12",1,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7143","7143","B0003OXEE2","A31DAWHOVQVB6N","4/5",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7144","7144","B0003OXEE2","A35873SS8RQ1EB","6/8",2,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7145","7145","B0003OXEE2","ADY9ZAALO2TG7","3/4",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7146","7146","B0003OXEE2","A1MPE63ITD5ZXS","3/4",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7147","7147","B0003OXEE2","ACOIARHFDLXSH","3/4",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7148","7148","B0003OXEE2","A148HJC1XI70DF","6/9",1,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7149","7149","B0003OXEE2","AZQT8BW4EXWYU","4/6",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7150","7150","B0003OXEE2","A3I5A0ATFKKV54","3/5",5,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7151","7151","B0003OXEE2","A3O5UJY20YNFAM","6/11",3,"Fertility Yoga with Monica Morell, Ph.D.: Guided Relaxation & Therapeutice Practice, with Offered Modifications","Comedy"
"7152","7152","B000NO2FLU","AIVUJVINSHDHN","6/6",4,"1987 NCAA(r) Division I Men's Basketball Championship - Indiana vs. Syracuse","Comedy"
"7153","7153","B000NO2FLU","A1T7DE3E3KO7DV","3/3",2,"1987 NCAA(r) Division I Men's Basketball Championship - Indiana vs. Syracuse","Comedy"
"7154","7154","6304239343.0","A3WJ0DLZMI3P","23/24",4,"1987 NCAA(r) Division I Men's Basketball Championship - Indiana vs. Syracuse","Comedy"
"7155","7155","B001T89LXO","A1XX5797TIZT5Q","5/9",2,"American Outlaws","Action"
"7156","7156","B001T89LXO","A1GAD2WH9NDOUR","17/19",5,"American Outlaws","Action"
"7157","7157","B001T89LXO","A30WTLR1O0XYG6","10/10",5,"American Outlaws","Action"
"7158","7158","B001T89LXO","A2ASEBCEN9ZWTZ","25/30",4,"American Outlaws","Action"
"7159","7159","B001T89LXO","A1P9QCU33WQQED","5/5",3,"American Outlaws","Action"
"7160","7160","B001T89LXO","A3BC948CW1ED2L","6/7",5,"American Outlaws","Action"
"7161","7161","B001T89LXO","AZ36P45ANGC98","3/3",4,"American Outlaws","Action"
"7162","7162","B001T89LXO","A1ZOIGQHW7FPT2","5/6",4,"American Outlaws","Action"
"7163","7163","B005GLHO48","A2EU95NHTJSDWR","15/18",5,"Boy Wonder","Action"
"7164","7164","B005GLHO48","A2QB6MXE2Q7NFP","8/9",5,"Boy Wonder","Action"
"7165","7165","B005GLHO48","AXYEW4EJR2BIA","3/3",5,"Boy Wonder","Action"
"7166","7166","B005GLHO48","A1IGABVZXMQSK2","8/11",5,"Boy Wonder","Action"
"7167","7167","B005GLHO48","A2IY9M330NKBW6","3/4",3,"Boy Wonder","Action"
"7168","7168","B005GLHO48","APRVKZZLIZUSJ","3/4",5,"Boy Wonder","Action"
"7169","7169","B005GLHO48","A348DNV6YUS5FJ","6/9",5,"Boy Wonder","Action"
"7170","7170","B005GLHO48","A130VTEXX25T2G","8/13",5,"Boy Wonder","Action"
"7171","7171","B003YBHZ28","A161DRPU78F5MH","5/5",2,"Bottleneck Blues Guitar","Music Videos & Concerts"
"7172","7172","B003YBHZ28","AKEWD4LA1MBUJ","4/4",4,"Bottleneck Blues Guitar","Music Videos & Concerts"
"7173","7173","B003YBHZ28","A335QOLY9O18OM","3/3",2,"Bottleneck Blues Guitar","Music Videos & Concerts"
"7174","7174","B003YBHZ28","A1Z8UHCCY3NYI3","3/3",5,"Bottleneck Blues Guitar","Music Videos & Concerts"
"7175","7175","B003YBHZ28","A309B18FKBVCOA","3/5",5,"Bottleneck Blues Guitar","Music Videos & Concerts"
"7176","7176","B000067J25","A3TJJHMWV3SFNI","5/6",5,"Ablaze","Music Videos & Concerts"
"7177","7177","B000067J25","AER3E2Y4YS9HU","3/5",5,"Ablaze","Music Videos & Concerts"
"7178","7178","B000067J25","A2Q93LSN5PRJA3","5/10",1,"Ablaze","Music Videos & Concerts"
"7179","7179","B000067J24","A2SRZQU1SZG4RR","28/28",4,"Woman On Top","Comedy"
"7180","7180","B000067J24","A1K2ACRU9YJS17","23/23",4,"Woman On Top","Comedy"
"7181","7181","B000067J24","A3TM1K5F7Q2CUA","12/12",5,"Woman On Top","Comedy"
"7182","7182","B000067J24","A328S9RN3U5M68","7/7",4,"Woman On Top","Comedy"
"7183","7183","B000067J24","A2CL0JE11EPADZ","7/8",4,"Woman On Top","Comedy"
"7184","7184","B000067J24","A1SPB225CVTRUU","5/6",4,"Woman On Top","Comedy"
"7185","7185","B000067J24","A1J2931UBBJPXM","7/9",4,"Woman On Top","Comedy"
"7186","7186","B000067J24","A2NSFY14NRQL0G","13/18",1,"Woman On Top","Comedy"
"7187","7187","B000067J24","AOEQZLCRMEYXL","3/5",2,"Woman On Top","Comedy"
"7188","7188","B000067J24","A3S1G5T9NBTPTM","3/5",4,"Woman On Top","Comedy"
"7189","7189","B000067J24","A18BV4O63DOWNH","10/20",2,"Woman On Top","Comedy"
"7190","7190","B000067J24","A3GW8RC5RE1W6S","3/8",1,"Woman On Top","Comedy"
"7191","7191","B000067J24","AZEEUB49S7CD5","7/15",1,"Woman On Top","Comedy"
"7192","7192","B000SQJ28C","A3DVS9Y4Z1HIDJ","40/42",5,"Coffee Date","Comedy"
"7193","7193","B000SQJ28C","A1MECEHZHFE5PT","14/15",5,"Coffee Date","Comedy"
"7194","7194","B000SQJ28C","AKVGFJC0FDU6T","8/8",4,"Coffee Date","Comedy"
"7195","7195","B000SQJ28C","AFPCHSS6BTGHL","11/13",5,"Coffee Date","Comedy"
"7196","7196","B000SQJ28C","A3SHQXNOPZBJH","5/5",3,"Coffee Date","Comedy"
"7197","7197","B000SQJ28C","A3JF4OYMQ104RA","3/3",5,"Coffee Date","Comedy"
"7198","7198","B000SQJ28C","AEJK5PLCUK6SX","3/3",5,"Coffee Date","Comedy"
"7199","7199","B000SQJ28C","A1XXQJ8EZYVXSY","7/9",5,"Coffee Date","Comedy"
"7200","7200","B000SQJ28C","A1TSEJQPLFK2HX","3/4",4,"Coffee Date","Comedy"
"7201","7201","B000SQJ28C","ABJ3AJ1TAS4TS","3/4",5,"Coffee Date","Comedy"
"7202","7202","B000SQJ28C","A4XFOO76EOYPC","5/7",5,"Coffee Date","Comedy"
"7203","7203","B000SQJ28C","A1OER49VB2Q89O","4/6",5,"Coffee Date","Comedy"
"7204","7204","B000SQJ28C","A14794N044AML4","6/11",3,"Coffee Date","Comedy"
"7205","7205","6305808155.0","AAGFBE5EM7YKB","49/50",5,"Coffee Date","Comedy"
"7206","7206","6305808155.0","A2EMSQ6TDKGH27","30/30",4,"Coffee Date","Comedy"
"7207","7207","6305808155.0","A2V3P1XE33NYC3","15/15",5,"Coffee Date","Comedy"
"7208","7208","6305808155.0","A2FEJIORC1MBG3","8/8",4,"Coffee Date","Comedy"
"7209","7209","6305808155.0","AHUT55E980RDR","10/11",3,"Coffee Date","Comedy"
"7210","7210","6305808155.0","A1D8RCPJ6FLIDT","7/7",4,"Coffee Date","Comedy"
"7211","7211","6305808155.0","AZHDUI9GUF4RU","9/10",1,"Coffee Date","Comedy"
"7212","7212","6305808155.0","A2V3P1XE33NYC3","5/5",3,"Coffee Date","Comedy"
"7213","7213","6305808155.0","AQ4NJ2T9PVI3L","3/3",5,"Coffee Date","Comedy"
"7214","7214","6305808155.0","A3RB00R6GOWEK2","4/5",4,"Coffee Date","Comedy"
"7215","7215","6305808155.0","A14VQ55F6O49C1","8/1",3,"Coffee Date","Comedy"
"7216","7216","B000NDFHYS","A11XKY4EIU2KNR","8/9",5,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7217","7217","B000NDFHYS","A3863M2049OPN3","13/17",1,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7218","7218","B000NDFHYS","ABM4K7QY8N4UZ","5/7",5,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7219","7219","B000NDFHYS","ABM4K7QY8N4UZ","4/6",5,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7220","7220","B000NDFHYS","A1H0IUGW0JI4LR","5/8",5,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7221","7221","B000NDFHYS","A2MUD2VY9HWFXQ","5/9",5,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7222","7222","B000NDFHYS","AQBRMBQ99ESI7","6/12",1,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7223","7223","B000NDFHYS","AG7QTZ9MJJX4F","6/14",1,"National Lampoon's Lost Reality 1 and 2","Comedy"
"7224","7224","B001T89LXY","A3H9JSM1SUTE4O","46/47",4,"Big Wednesday","Drama"
"7225","7225","B001T89LXY","A3MJ1HY8SZ8NV1","23/23",5,"Big Wednesday","Drama"
"7226","7226","B001T89LXY","ACNKNZSZQGZ5Q","30/32",5,"Big Wednesday","Drama"
"7227","7227","B001T89LXY","A30LMTLC9XVWKJ","4/5",5,"Big Wednesday","Drama"
"7228","7228","B001T89LXY","A977YH1MSGQ9R","3/4",5,"Big Wednesday","Drama"
"7229","7229","B001T89LXY","A3J77J6A0Z1444","3/4",4,"Big Wednesday","Drama"
"7230","7230","B001T89LXY","A97EM11WPF457","5/7",5,"Big Wednesday","Drama"
"7231","7231","B000VULA9E","A141HP4LYPWMSR","43/46",4,"Spice World","Comedy"
"7232","7232","B000VULA9E","AL0AJOTHUOJPG","21/22",4,"Spice World","Comedy"
"7233","7233","B000VULA9E","A3AYDEWU1EPF15","19/21",5,"Spice World","Comedy"
"7234","7234","B000VULA9E","A2RKI7RPP5CJMG","15/18",3,"Spice World","Comedy"
"7235","7235","B000VULA9E","A1JUD55XV8FDWS","13/16",4,"Spice World","Comedy"
"7236","7236","B000VULA9E","AZZZRU9BPN8UP","5/5",4,"Spice World","Comedy"
"7237","7237","B000VULA9E","A2455Z05H1JMA6","4/4",5,"Spice World","Comedy"
"7238","7238","B000VULA9E","A2G6VD4YIJBM7A","4/4",5,"Spice World","Comedy"
"7239","7239","B000VULA9E","A3132PM6NPD1BP","4/4",4,"Spice World","Comedy"
"7240","7240","B000VULA9E","A2KQKTBIPSUT4R","4/4",3,"Spice World","Comedy"
"7241","7241","B000VULA9E","A2D1H4HMCII3XM","3/3",3,"Spice World","Comedy"
"7242","7242","B000VULA9E","A3AB48P74HHSLX","3/3",5,"Spice World","Comedy"
"7243","7243","B000VULA9E","A33BOYMVG3U58Y","3/3",5,"Spice World","Comedy"
"7244","7244","B000VULA9E","A3HPNXR08FVXVK","3/3",5,"Spice World","Comedy"
"7245","7245","B000VULA9E","A4YJASO8CIMQ8","3/3",5,"Spice World","Comedy"
"7246","7246","B000VULA9E","AN74EH29PJ0MK","3/3",5,"Spice World","Comedy"
"7247","7247","B000VULA9E","A3QAATYM09AJMU","3/3",5,"Spice World","Comedy"
"7248","7248","B000VULA9E","AUB1MG7IU2JY2","3/3",5,"Spice World","Comedy"
"7249","7249","B000VULA9E","A2P05J68MBD6HA","5/6",4,"Spice World","Comedy"
"7250","7250","B000VULA9E","A35XFZN4MWNKK4","5/9",1,"Spice World","Comedy"
"7251","7251","B000VULA9E","A24PMM7JA653E9","4/14",1,"Spice World","Comedy"
"7252","7252","B00005QVUT","A2G8S147EKSY1R","8/8",5,"Rediscovering the Labyrinth [VHS]","Comedy"
"7253","7253","B00005QVUT","A3N5D5VZDWH39A","5/5",4,"Rediscovering the Labyrinth [VHS]","Comedy"
"7254","7254","B00005B7DN","A21B2TJBWCSK1R","12/13",5,"Hard Core Logo [VHS]","Comedy"
"7255","7255","B00005B7DN","A1E58C401UWMU0","5/5",5,"Hard Core Logo [VHS]","Comedy"
"7256","7256","B00005B7DN","A3CG6YLYZJXQG4","7/8",4,"Hard Core Logo [VHS]","Comedy"
"7257","7257","B00005B7DN","A19D5NF3FYMNGA","3/3",5,"Hard Core Logo [VHS]","Comedy"
"7258","7258","B00005B7DN","A3C1J2OE0H05MJ","3/3",5,"Hard Core Logo [VHS]","Comedy"
"7259","7259","B00005B7DN","A34K8D262NZQJF","3/3",5,"Hard Core Logo [VHS]","Comedy"
"7260","7260","B00005B7DN","A2XBSCKI07MR5C","3/3",5,"Hard Core Logo [VHS]","Comedy"
"7261","7261","B00005B7DN","A27PSZX2SE0B51","5/6",5,"Hard Core Logo [VHS]","Comedy"
"7262","7262","B00005B7DN","A207KAQ293J5XC","4/12",1,"Hard Core Logo [VHS]","Comedy"
"7263","7263","B000JJRY7E","A1BF63O8WJARZ4","33/34",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7264","7264","B000JJRY7E","A1S6WZ64VI3K9S","19/19",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7265","7265","B000JJRY7E","A1BMK4FP8YELS1","8/9",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7266","7266","B000JJRY7E","A1W9U57YIGOUG8","7/8",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7267","7267","B000JJRY7E","A3FW6TWGY1DC15","4/4",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7268","7268","B000JJRY7E","A2QRFR9HV4QULD","4/4",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7269","7269","B000JJRY7E","ARH88L0PZV6CY","6/7",5,"The Finis Jhung Ballet Technique Level 1: Barrework for Beginners","exercise & fitness - barre method"
"7270","7270","B002KLQ2XG","A2TIDCINAVYN33","25/26",5,"The Narrows [Blu-ray]","exercise & fitness - barre method"
"7271","7271","B002KLQ2XG","A277OUBZPFIQDI","5/5",5,"The Narrows [Blu-ray]","exercise & fitness - barre method"
"7272","7272","B002KLQ2XG","A3FDEI5P21XX6S","6/7",5,"The Narrows [Blu-ray]","exercise & fitness - barre method"
"7273","7273","B002KLQ2XG","A3LQT6PVK9YEU0","3/3",4,"The Narrows [Blu-ray]","exercise & fitness - barre method"
"7274","7274","B0035AO4WC","A36VNMYPXBSTQ3","86/89",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7275","7275","B0035AO4WC","A1AJHUCWHI49T2","65/69",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7276","7276","B0035AO4WC","A2OWR5G2OAQF7C","33/35",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7277","7277","B0035AO4WC","A25XE72CSN0U35","20/20",4,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7278","7278","B0035AO4WC","A2FJ7SICG806OZ","21/23",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7279","7279","B0035AO4WC","AWMU4C4CH21TE","11/11",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7280","7280","B0035AO4WC","A1Q7IPQINYFG58","12/13",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7281","7281","B0035AO4WC","A1Q9SQLZ1K2OE2","8/8",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
"7282","7282","B0035AO4WC","AI7S20N53Y9R6","11/12",5,"Kundalini Yoga Transformer All-In-One Workout ALL LEVELS","Exercise & Fitness"
